,participant,offer,choice_b,choice_rt,stim
155,705,3.0,1,0.9834657000010338,post
156,705,7.0,0,1.2622733999996854,post
157,705,3.0,1,1.1986304000001835,post
158,705,3.0,1,1.52452699999958,post
159,705,9.0,0,1.17628269999841,post
160,705,8.0,0,1.3496237000017572,post
161,705,4.0,1,1.2955622000008589,post
162,705,7.0,0,1.537610299999869,post
163,705,5.0,1,1.7259148999983154,post
164,705,5.0,1,1.5923399999992398,post
165,705,5.0,1,1.1658552999997482,post
166,705,1.0,1,1.2238418999986609,post
167,705,4.0,1,1.2656923000013194,post
168,705,9.0,0,1.2294631999993726,post
169,705,1.0,1,1.1293100000002596,post
170,705,6.0,0,2.185125899999548,post
171,705,5.0,1,1.240617100000236,post
172,705,4.0,1,2.399706399999559,post
173,705,6.0,0,1.1463567999999211,post
174,705,2.0,1,1.378183299999364,post
175,705,7.0,0,1.0689860000002227,post
176,705,4.0,1,1.1717511999995622,post
177,705,2.0,1,1.1087913000010303,post
178,705,8.0,0,1.356071800000791,post
179,705,8.0,0,1.0276344000012614,post
210,706,5.0,1,10.82889870001236,post
211,706,4.0,1,4.973199800006114,post
212,706,1.0,1,1.6574444999569096,post
213,706,5.0,1,7.090210700000171,post
214,706,5.0,1,2.670615600014571,post
215,706,5.0,1,3.407337300013751,post
216,706,9.0,0,6.703907800023444,post
217,706,3.0,1,4.781369399977848,post
218,706,3.0,1,2.925924900046084,post
219,706,6.0,1,9.026294100040104,post
220,706,2.0,1,2.048760699981358,post
221,706,4.0,1,3.939903899969067,post
222,706,2.0,1,3.551748500030953,post
223,706,7.0,0,5.9240725000272505,post
224,706,5.0,1,4.156967399991117,post
225,706,4.0,1,8.15537900000345,post
226,706,6.0,1,9.921678000013344,post
227,706,6.0,1,4.572006700036582,post
228,706,7.0,0,8.065100799954962,post
229,706,2.0,1,4.8955419000121765,post
230,706,4.0,1,4.213763599982485,post
231,706,6.0,1,4.722002700029407,post
232,706,8.0,0,5.766904700023588,post
233,706,5.0,1,9.70290139998542,post
234,706,9.0,0,4.067136199970264,post
235,706,1.0,1,4.05589840002358,post
236,706,8.0,0,3.911112800007686,post
237,706,8.0,0,4.054302499978803,post
238,706,3.0,1,7.45329189999029,post
239,706,7.0,0,3.022348599974066,post
270,811,5.0,0,1.1458038999699056,post
271,811,3.0,0,1.0728501999983564,post
272,811,5.0,0,0.8936832000035793,post
273,811,1.0,1,1.2981090999674052,post
274,811,2.0,0,2.937577300006524,post
275,811,5.0,0,1.263221099972725,post
276,811,6.0,0,1.075262700091116,post
277,811,9.0,0,1.0560527000343427,post
278,811,5.0,0,0.9097565000411124,post
279,811,7.0,0,1.2575633999658749,post
280,811,4.0,0,1.8023521999130023,post
281,811,4.0,0,1.3154223999008536,post
282,811,6.0,0,1.071422100067139,post
283,811,3.0,0,3.4871785000432283,post
284,811,8.0,0,1.1076496000168845,post
285,811,7.0,0,0.7202354000182822,post
286,811,9.0,0,0.9996910000918432,post
287,811,8.0,0,0.9340227000648156,post
288,811,2.0,0,8.71284079994075,post
289,811,6.0,0,1.1193131000036374,post
290,811,5.0,0,1.0661219999892635,post
291,811,1.0,1,2.41707339999266,post
292,811,4.0,0,1.1076104999519885,post
293,811,6.0,0,1.623447300051339,post
294,811,4.0,0,1.321158800041303,post
295,811,3.0,0,3.275182400015183,post
296,811,5.0,0,1.1210436000255868,post
297,811,8.0,0,1.1565857999958098,post
298,811,7.0,0,1.3807158001000062,post
299,811,2.0,0,3.271896400023252,post
330,812,5.0,0,1.1652378999860955,post
331,812,6.0,0,0.6131882999907248,post
332,812,5.0,0,0.8268791000009514,post
333,812,7.0,0,0.8310357999871485,post
334,812,5.0,0,0.9888318000012076,post
335,812,6.0,0,0.7929660000372678,post
336,812,6.0,0,0.8056901000090875,post
337,812,2.0,1,1.0668736000079662,post
338,812,3.0,1,1.5171726000262424,post
339,812,2.0,1,1.1416541000362486,post
